alarm_record_id,data_source,snapshot_time,severity,alarm_source_id,alarm_source_type,alarm_name,first_occurred_at,last_occurred_at,alarm_age_hours,occurrence_times,down_reason,port_oper_status,port_admin_status,clearance_status,acknowledgment_status,maintenance_status,candidate_risk_score,reason_group_candidate
alarm_00001,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_aa46ebdde4,AG,Physical Port Down,2015-12-19 01:40:10,2015-12-19 01:40:10,90952.29,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,link_down
alarm_00002,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_02c4dea2ed,AG,Physical Port Down,2016-08-25 15:04:22,2016-08-25 15:04:22,84938.88,1,LOS,DOWN,UP,-,-,NORMAL,0.88,link_down
alarm_00003,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_aa46ebdde4,AG,Physical Port Down,2016-12-07 16:46:48,2016-12-07 16:46:48,82441.18,1,LOS,DOWN,UP,-,-,NORMAL,0.88,link_down
alarm_00004,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_d0aacbf21a,AG,Physical Port Down,2016-12-09 17:03:09,2016-12-09 17:03:09,82392.9,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,link_down
alarm_00005,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_d0aacbf21a,AG,Physical Port Down,2016-12-10 12:59:13,2016-12-10 12:59:13,82372.97,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,link_down
alarm_00006,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_685e16a0a6,AG,Physical Port Down,2017-04-01 00:27:15,2017-04-01 00:27:15,79697.5,1,LOS,DOWN,UP,-,-,NORMAL,0.88,link_down
alarm_00007,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_1fefd1e765,AG,Physical Port Down,2017-06-12 18:50:34,2017-06-12 18:50:34,77951.11,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,link_down
alarm_00008,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_21a7eae782,CA,Physical Port Down,2017-08-29 08:40:40,2017-08-29 08:40:40,76089.28,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00009,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_685e16a0a6,AG,Physical Port Down,2017-09-26 23:51:49,2017-09-26 23:51:49,75402.09,1,LOS,DOWN,UP,-,-,NORMAL,0.88,link_down
alarm_00010,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_685e16a0a6,AG,Physical Port Down,2017-09-26 23:57:34,2017-09-26 23:57:34,75402.0,1,LOS,DOWN,UP,-,-,NORMAL,0.88,link_down
alarm_00011,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_8d2941bf77,AG,Physical Port Down,2017-09-27 00:03:33,2017-09-27 00:03:33,75401.9,1,LOS,DOWN,UP,-,-,NORMAL,0.88,link_down
alarm_00012,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-05 00:08:41,2017-12-05 00:08:41,73745.81,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00013,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-05 00:08:41,2017-12-05 00:08:41,73745.81,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00014,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-05 00:08:46,2017-12-05 00:08:46,73745.81,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
alarm_00015,current_alarm_snapshot,2026-05-04 17:57:19,CRITICAL,asset_4226e99132,CA,Physical Port Down,2017-12-05 00:08:46,2017-12-05 00:08:46,73745.81,1,SHUTDOWN,DOWN,DOWN,-,-,NORMAL,0.88,equipment_module
