incident_id,year,quarter,month,week_of_year,area,priority,type_of_incident,trouble_type,incident_type,network_id,branch_id,route_id,duration_hours,status,reason_group,kpi,label_over_time,label_critical
INC_00001,2024,1,1,4,TXNOC,MAJOR,MICROWAVE,LINK DOWN,IN SITE,NET_001,BRANCH_001,ROUTE_001,364.0,CLOSED,EQUIPMENT,Over Time,1,0
INC_00002,2024,1,1,5,TXNOC,CRITICAL,FIBRA,LINK DOWN,CABLE BROKEN BACKBONE,NET_002,BRANCH_002,ROUTE_002,917.0,CLOSED,NATURAL_EVENT,Over Time,1,1
INC_00003,2024,1,2,5,TXNOC,MAJOR,FIBRA,ATTENUATION,CABLE BROKEN BACKBONE,NET_002,BRANCH_003,ROUTE_003,1320.5,CLOSED,CABLE_FIBER,Over Time,1,0
INC_00004,2024,1,2,6,TXNOC,MAJOR,MICROWAVE,LINK DOWN,IN SITE,NET_001,BRANCH_004,ROUTE_004,1373.4,CLOSED,EQUIPMENT,Over Time,1,0
INC_00005,2024,1,2,6,TXNOC,CRITICAL,FIBRA,ATTENUATION,CABLE BROKEN BACKBONE,NET_002,BRANCH_005,ROUTE_005,310.0,CLOSED,OTHER,Over Time,1,1
INC_00006,2024,1,2,8,TXNOC,MAJOR,MICROWAVE,LINK DOWN,IN SITE,NET_001,BRANCH_006,ROUTE_006,76.3,CLOSED,EQUIPMENT,Over Time,1,0
INC_00007,2024,1,2,8,TXNOC,MAJOR,MICROWAVE,LINK DOWN,IN SITE,NET_001,BRANCH_007,ROUTE_007,63.0,CLOSED,EQUIPMENT,Over Time,1,0
INC_00008,2024,1,2,8,TXNOC,MAJOR,MICROWAVE,LINK DOWN,IN SITE,NET_001,BRANCH_008,ROUTE_008,13.0,CLOSED,CONFIGURATION,On Time,0,0
INC_00009,2024,1,2,8,TXNOC,CRITICAL,FIBRA,LINK DOWN,CABLE BROKEN BACKBONE,NET_002,BRANCH_009,ROUTE_009,179.0,CLOSED,RECOVERED_ITSELF,Over Time,1,1
INC_00010,2024,1,2,8,TXNOC,MAJOR,FIBRA,ATTENUATION,CABLE BROKEN BACKBONE,NET_002,BRANCH_010,ROUTE_010,179.0,CLOSED,CABLE_FIBER,Over Time,1,0
INC_00011,2024,1,2,9,TXNOC,CRITICAL,FIBRA,LINK DOWN,CABLE BROKEN BACKBONE,NET_002,BRANCH_004,ROUTE_011,149.0,CLOSED,EQUIPMENT,Over Time,1,1
INC_00012,2024,1,3,10,TXNOC,MAJOR,FIBRA,ATTENUATION,CABLE BROKEN BACKBONE,NET_002,BRANCH_011,ROUTE_012,81.5,CLOSED,CABLE_FIBER,Over Time,1,0
INC_00013,2024,1,3,11,TXNOC,MAJOR,MICROWAVE,LINK DOWN,IN SITE,NET_001,BRANCH_012,ROUTE_013,203.78,CLOSED,CABLE_FIBER,Over Time,1,0
INC_00014,2024,1,3,11,TXNOC,MAJOR,MICROWAVE,LINK DOWN,IN SITE,NET_001,BRANCH_010,ROUTE_014,499.0,CLOSED,OTHER,Over Time,1,0
INC_00015,2024,1,3,11,TXNOC,MAJOR,MICROWAVE,LINK DOWN,IN SITE,NET_001,BRANCH_013,ROUTE_015,8.0,CLOSED,OTHER,On Time,0,0
INC_00016,2024,1,3,11,TXNOC,MAJOR,MICROWAVE,LINK DOWN,IN SITE,NET_001,BRANCH_014,ROUTE_015,516.72,CLOSED,OTHER,Over Time,1,0
INC_00017,2024,1,3,11,TXNOC,MAJOR,MICROWAVE,LINK DOWN,IN SITE,NET_001,BRANCH_005,ROUTE_016,109.37,CLOSED,EQUIPMENT,Over Time,1,0
INC_00018,2024,1,3,11,TXNOC,CRITICAL,FIBRA,LINK DOWN,CABLE BROKEN BACKBONE,NET_002,BRANCH_001,ROUTE_017,175.0,CLOSED,EQUIPMENT,Over Time,1,1
INC_00019,2024,1,3,12,TXNOC,MAJOR,MICROWAVE,LINK DOWN,IN SITE,NET_001,BRANCH_011,ROUTE_018,30.0,CLOSED,EQUIPMENT,Over Time,1,0
INC_00020,2024,1,3,12,TXNOC,MAJOR,FIBRA,ATTENUATION,CABLE BROKEN BACKBONE,NET_002,BRANCH_012,ROUTE_019,771.0,CLOSED,CABLE_FIBER,Over Time,1,0
INC_00021,2024,1,3,12,TXNOC,CRITICAL,FIBRA,LINK DOWN,CABLE BROKEN BACKBONE,NET_002,BRANCH_001,ROUTE_020,19.53,CLOSED,CABLE_FIBER,Over Time,1,1
INC_00022,2024,1,3,12,TXNOC,MAJOR,MICROWAVE,LINK DOWN,IN SITE,NET_001,BRANCH_003,ROUTE_021,127.57,CLOSED,EQUIPMENT,Over Time,1,0
INC_00023,2024,1,3,12,TXNOC,CRITICAL,FIBRA,LINK DOWN,CABLE BROKEN BACKBONE,NET_002,BRANCH_010,ROUTE_022,90.0,CLOSED,EQUIPMENT,Over Time,1,1
