incident_id,domain,area,year,quarter,month,week_of_year,day_of_week,hour,is_weekend,is_night,priority,type_of_incident,trouble_type,incident_type,network_id,branch,branch_id,sla_threshold_hours,reason_group,label_over_ola,label_source
inc_04161,IP,IPNOC,2024,1,1,1,0,13,0,0,CRITICAL,FIBRA,ATTENUATION,CABLE BROKEN ACCESS,network_005,AMA,branch_001,15.0,attenuation,1,KPI_ON_TIME_OVER_TIME
inc_04162,IP,IPNOC,2024,1,1,2,3,12,0,0,CRITICAL,FIBRA,ATTENUATION,CABLE BROKEN ACCESS,network_002,PUN,branch_037,15.0,attenuation,1,KPI_ON_TIME_OVER_TIME
inc_04163,IP,IPNOC,2024,1,1,2,4,1,0,1,MAJOR,FIBRA,ATTENUATION,CABLE BROKEN ACCESS,network_003,LIMA 1,branch_026,15.0,attenuation,1,KPI_ON_TIME_OVER_TIME
inc_04164,IP,IPNOC,2024,1,1,2,6,3,1,1,MAJOR,FIBRA,ATTENUATION,CABLE BROKEN ACCESS,network_003,ANC,branch_002,15.0,attenuation,1,KPI_ON_TIME_OVER_TIME
inc_04165,IP,IPNOC,2024,1,1,2,6,17,1,0,CRITICAL,FIBRA,LINK DOWN,CABLE BROKEN ACCESS,network_005,PRONATEL,branch_036,16.0,fiber_cable,1,KPI_ON_TIME_OVER_TIME
inc_04166,IP,IPNOC,2024,1,1,3,1,4,0,1,MAJOR,FIBRA,LINK DOWN,CABLE BROKEN ACCESS,network_002,LIMA 4,branch_029,15.0,fiber_cable,1,KPI_ON_TIME_OVER_TIME
inc_04167,IP,IPNOC,2024,1,1,3,1,7,0,0,MAJOR,FIBRA,ATTENUATION,CABLE BROKEN BACKBONE,network_003,HUC,branch_018,15.0,attenuation,1,KPI_ON_TIME_OVER_TIME
inc_04168,IP,IPNOC,2024,1,1,3,5,6,1,1,MAJOR,FIBRA,LINK DOWN,CABLE BROKEN ACCESS,network_005,ANC,branch_002,15.0,fiber_cable,1,KPI_ON_TIME_OVER_TIME
inc_00001,TX,TXNOC,2024,1,1,4,0,15,0,0,MAJOR,MICROWAVE,LINK DOWN,IN SITE,network_006,PIU,branch_035,15.0,link_down,1,KPI_ON_TIME_OVER_TIME
inc_04169,IP,IPNOC,2024,1,1,4,0,18,0,0,MAJOR,FIBRA,LINK DOWN,CABLE BROKEN ACCESS,network_002,LAL,branch_024,15.0,fiber_cable,1,KPI_ON_TIME_OVER_TIME
inc_04170,IP,IPNOC,2024,1,1,4,2,19,0,0,MAJOR,FIBRA,LINK DOWN,CABLE BROKEN ACCESS,network_002,LIMA 1,branch_026,15.0,fiber_cable,1,KPI_ON_TIME_OVER_TIME
