date_start,label_over_ola,area_noc,priority,type_of_incident,trouble_type,incident_type,network_type,branch_id,reason_group,year,quarter,month,week_of_year,day_of_week,hour,is_weekend,is_night,duration_hours_evidence
2022-08-14,1,IPNOC,CRITICAL,FIBRA,BAD PERFORMANCE,IN SITE,SRT-SRT,BRANCH_042,HIGH TEMPERATURE,2022,3,8,32,6,0,1,1,
2022-08-30,1,IPNOC,MINOR,FIBRA,BAD PERFORMANCE,IN SITE,AGG-SRT,BRANCH_029,HIGH TEMPERATURE,2022,3,8,35,1,0,0,1,
2022-09-16,1,IPNOC,MINOR,FIBRA,BAD PERFORMANCE,CABLE BROKEN ACCESS,SRT-SRT,BRANCH_023,HIGH TEMPERATURE,2022,3,9,37,4,0,0,1,
2022-09-16,1,IPNOC,MINOR,FIBRA,BAD PERFORMANCE,IN SITE,SRT-SRT,BRANCH_026,HIGH TEMPERATURE,2022,3,9,37,4,0,0,1,
2022-09-17,1,IPNOC,MINOR,FIBRA,BAD PERFORMANCE,IN SITE,SRT-SRT,BRANCH_040,HIGH TEMPERATURE,2022,3,9,37,5,0,1,1,
2022-09-28,1,IPNOC,MINOR,FIBRA,BAD PERFORMANCE,IN SITE,AGG-SRT,BRANCH_005,HIGH TEMPERATURE,2022,3,9,39,2,0,0,1,
2022-10-20,1,IPNOC,MINOR,FIBRA,BAD PERFORMANCE,IN SITE,SRT-SRT,BRANCH_042,HIGH TEMPERATURE,2022,4,10,42,3,0,0,1,
2022-11-07,1,IPNOC,MINOR,FIBRA,BAD PERFORMANCE,IN SITE,SRT-SRT,BRANCH_029,HIGH TEMPERATURE,2022,4,11,45,0,0,0,1,
2022-11-07,1,IPNOC,MINOR,FIBRA,BAD PERFORMANCE,IN SITE,SRT-SRT,BRANCH_027,HIGH TEMPERATURE,2022,4,11,45,0,0,0,1,
2022-12-13,1,IPNOC,MINOR,FIBRA,BAD PERFORMANCE,IN SITE,SRT-SRT,BRANCH_029,HIGH TEMPERATURE,2022,4,12,50,1,0,0,1,
