metric,unit,baseline,actual,absolute_delta_actual_minus_baseline,relative_delta_pct,baseline_ci95_low,baseline_ci95_high,actual_ci95_low,actual_ci95_high
F1,ratio,0.492057889163431,0.5030395136778115,0.010981624514380506,2.2317749102754645,0.46930069521438467,0.513410921884715,0.47925386676890347,0.5271433919880195
Precisión,ratio,0.32923948984411905,0.3455114822546973,0.01627199241057825,4.9422966905587025,0.3093693938414209,0.34878277375540917,0.32440131101771535,0.3679755317434917
Recall,ratio,0.973463687150838,0.9245810055865922,-0.0488826815642458,-5.021520803443328,0.9607298645719881,0.984540240443117,0.9050279329608939,0.9437563774148788
Average Precision,ratio,0.3562496095167777,0.4351663893059101,0.07891677978913242,22.152102818070823,0.3300559706190356,0.3830747636267517,0.40056664019776433,0.471169398373139
Balanced accuracy,ratio,0.4953823626065609,0.52838046819122,0.0329981055846591,6.661138561944852,,,,
Brier (menor es mejor),ratio,0.4275254049051365,0.22108999515531352,-0.206435409749823,-48.28611525334474,0.41638732184174,0.4396060596945859,0.21499213959811447,0.2270739991629614
Costo FP + 3*FN (menor es mejor),casos,1477.0,1416.0,-61.0,-4.129993229519296,,,,
Tasa de alertas,ratio,0.979639055992596,0.8866265617769551,-0.09301249421564095,-9.494567784600855,,,,
Falsos positivos,casos,1420.0,1254.0,-166.0,-11.690140845070422,,,,
Falsos negativos,casos,19.0,54.0,35.0,184.21052631578948,,,,
