branch,branch_id,n_valid,over_ola_rate_real,over_ola_real,predicted_risk_rate,precision_rf,recall_rf,f1_rf
LIMA 4,branch_029,117,0.4872,57,0.7265,0.5412,0.807,0.6479
LIMA 7,branch_031,43,0.4651,20,0.814,0.5143,0.9,0.6545
LOR,branch_033,57,0.4035,23,0.7544,0.4186,0.7826,0.5455
SAN,branch_038,210,0.4,84,0.819,0.4826,0.9881,0.6484
LIMA 1,branch_026,214,0.3925,84,0.9019,0.4197,0.9643,0.5848
LIMA 8,branch_032,74,0.3919,29,0.7838,0.3966,0.7931,0.5287
HUC,branch_018,34,0.3824,13,0.7941,0.4444,0.9231,0.6
HUA,branch_017,83,0.3735,31,0.4819,0.5,0.6452,0.5634
APU,branch_003,46,0.3696,17,0.587,0.4815,0.7647,0.5909
HUN,branch_019,125,0.368,46,0.816,0.4216,0.9348,0.5811
TAC,branch_040,42,0.3571,15,0.8333,0.4,0.9333,0.56
CABLERA IMPECABLE,branch_008,20,0.35,7,0.9,0.3333,0.8571,0.48
PUN,branch_037,49,0.3469,17,0.2857,0.6429,0.5294,0.5806
LAL,branch_024,45,0.3333,15,0.3333,0.4667,0.4667,0.4667
ARE,branch_004,89,0.3258,29,0.764,0.3676,0.8621,0.5155
LIMA 5,branch_030,56,0.3214,18,0.5893,0.3939,0.7222,0.5098
MAD,branch_034,98,0.3163,31,0.102,0.3,0.0968,0.1463
TELEFONICA,branch_041,185,0.3027,56,0.4324,0.5,0.7143,0.5882
UCA,branch_042,70,0.3,21,0.1571,0.5455,0.2857,0.375
LAM,branch_025,60,0.3,18,0.3,0.5,0.5,0.5
AMA,branch_001,105,0.2857,30,0.2762,0.6552,0.6333,0.6441
LIMA 3,branch_028,53,0.283,15,0.6415,0.2647,0.6,0.3673
ANC,branch_002,76,0.2763,21,0.2763,0.5238,0.5238,0.5238
PIU,branch_035,212,0.2689,57,0.5755,0.3607,0.7719,0.4916
LIMA 2,branch_027,75,0.2533,19,0.92,0.2754,1.0,0.4318
JUN,branch_023,102,0.2353,24,0.2549,0.5,0.5417,0.52
AYA,branch_005,85,0.2235,19,0.6471,0.3091,0.8947,0.4595
CAJ,branch_011,68,0.2206,15,0.3971,0.3704,0.6667,0.4762
ICA,branch_020,79,0.2025,16,0.5443,0.2558,0.6875,0.3729
PRONATEL,branch_036,16,0.1875,3,0.0625,1.0,0.3333,0.5
CUS,branch_013,79,0.1772,14,0.2278,0.5,0.6429,0.5625
