alarm_record_id,snapshot_time,severity,alarm_source_type,branch_candidate,alarm_name,first_occurred_at,last_occurred_at,alarm_age_hours,occurrence_times,down_reason,port_oper_status,clearance_status,acknowledgment_status,maintenance_status,reason_group_candidate,candidate_risk_score
alarm_00001,2026-05-04 17:57:19,CRITICAL,AG,HUN,PHYSICAL PORT DOWN,2015-12-19 01:40:10,2015-12-19 01:40:10,90952.28583333333,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00002,2026-05-04 17:57:19,CRITICAL,AG,PUN,PHYSICAL PORT DOWN,2016-08-25 15:04:22,2016-08-25 15:04:22,84938.8825,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00003,2026-05-04 17:57:19,CRITICAL,AG,HUN,PHYSICAL PORT DOWN,2016-12-07 16:46:48,2016-12-07 16:46:48,82441.17527777777,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00004,2026-05-04 17:57:19,CRITICAL,AG,ANC,PHYSICAL PORT DOWN,2016-12-09 17:03:09,2016-12-09 17:03:09,82392.90277777778,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00005,2026-05-04 17:57:19,CRITICAL,AG,ANC,PHYSICAL PORT DOWN,2016-12-10 12:59:13,2016-12-10 12:59:13,82372.96833333334,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00006,2026-05-04 17:57:19,CRITICAL,AG,UNKNOWN,PHYSICAL PORT DOWN,2017-04-01 00:27:15,2017-04-01 00:27:15,79697.50111111111,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00007,2026-05-04 17:57:19,CRITICAL,AG,PUN,PHYSICAL PORT DOWN,2017-06-12 18:50:34,2017-06-12 18:50:34,77951.1125,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00008,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-08-29 08:40:40,2017-08-29 08:40:40,76089.2775,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00009,2026-05-04 17:57:19,CRITICAL,AG,UNKNOWN,PHYSICAL PORT DOWN,2017-09-26 23:51:49,2017-09-26 23:51:49,75402.09166666666,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00010,2026-05-04 17:57:19,CRITICAL,AG,UNKNOWN,PHYSICAL PORT DOWN,2017-09-26 23:57:34,2017-09-26 23:57:34,75401.99583333333,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00011,2026-05-04 17:57:19,CRITICAL,AG,UNKNOWN,PHYSICAL PORT DOWN,2017-09-27 00:03:33,2017-09-27 00:03:33,75401.89611111111,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00012,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-05 00:08:41,2017-12-05 00:08:41,73745.81055555555,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00013,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-05 00:08:41,2017-12-05 00:08:41,73745.81055555555,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00014,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-05 00:08:46,2017-12-05 00:08:46,73745.80916666667,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00015,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-05 00:08:46,2017-12-05 00:08:46,73745.80916666667,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00016,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-05 00:08:47,2017-12-05 00:08:47,73745.80888888889,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00017,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-05 00:08:47,2017-12-05 00:08:47,73745.80888888889,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00018,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-05 00:18:41,2017-12-05 00:18:41,73745.6438888889,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00019,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-05 00:18:41,2017-12-05 00:18:41,73745.6438888889,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00020,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-05 01:42:33,2017-12-05 01:42:33,73744.2461111111,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00021,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-05 01:42:38,2017-12-05 01:42:38,73744.24472222223,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00022,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-05 01:42:39,2017-12-05 01:42:39,73744.24444444444,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00023,2026-05-04 17:57:19,CRITICAL,AG,LIP,PHYSICAL PORT DOWN,2017-12-11 18:35:38,2017-12-11 18:35:38,73583.3613888889,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00024,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:08,2017-12-15 00:24:08,73505.55305555556,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
alarm_00025,2026-05-04 17:57:19,CRITICAL,CA,NOR,PHYSICAL PORT DOWN,2017-12-15 00:24:08,2017-12-15 00:24:08,73505.55305555556,1.0,unknown,unknown,unknown,unknown,NORMAL,link_down,0.76
