rank,method,trial_id,f1_mean,f1_std,precision_mean,recall_mean,average_precision_mean,balanced_accuracy_mean,seconds,n_estimators,learning_rate,max_depth,min_samples_leaf,subsample,max_features,ccp_alpha,tol,n_iter_no_change,decision_threshold
1,random_search,8,0.4985833561154505,0.046056998675226966,0.3333333333333333,1.0,0.4395465553274738,0.5,0.626,60,0.07826828809323119,2,59,0.9232551608576888,log2,0.00012698622828119193,0.00019036802148316657,8,0.23039323235582831
2,bayesian_gp_ucb,6,0.4985833561154505,0.046056998675226966,0.3333333333333333,1.0,0.4348425068777038,0.5,0.918,89,0.0464778360161631,2,45,0.7593994821600044,sqrt,2.5870594846302837e-06,0.0005875011972503674,4,0.20663251836367588
3,bayesian_gp_ucb,10,0.4985833561154505,0.046056998675226966,0.3333333333333333,1.0,0.4347395759910519,0.5,0.989,78,0.03395552973232845,3,40,0.6524798739594818,sqrt,0.00016049876365490417,0.0003373396613020179,10,0.19779004981292164
4,bayesian_gp_ucb,1,0.4985833561154505,0.046056998675226966,0.3333333333333333,1.0,0.42805614477466775,0.5,0.737,173,0.08463444470098111,1,44,0.7833574291337688,log2,1.3040197639929757e-05,0.0018220705396336779,9,0.21856596449908444
5,random_search,10,0.4985833561154505,0.046056998675226966,0.3333333333333333,1.0,0.4202116250493364,0.5,1.074,127,0.0161938192741584,2,39,0.7251046354868352,sqrt,0.0014345390329201324,0.0002936831108018941,7,0.20565320634318904
6,bayesian_gp_ucb,3,0.4985833561154505,0.046056998675226966,0.3333333333333333,1.0,0.41711250522609106,0.5,0.51,91,0.045817750701589964,3,61,0.6837368367537248,sqrt,0.002181218591204317,0.0008157415422961872,10,0.3146209146262871
7,bayesian_gp_ucb,9,0.49824909352167707,0.045640290688384384,0.333250699383701,0.9983993597438975,0.4398225024280227,0.49982624628798894,1.411,115,0.02788681852640147,4,16,0.7258779510060057,sqrt,3.050844673458277e-05,0.0011430856874083699,6,0.1804355973276099
8,random_search,5,0.49795528806423944,0.013421049911758087,0.3668062611254545,0.7968672317411812,0.44723562634203295,0.5566538188141749,0.906,171,0.1660388121171867,3,37,0.7796608971122041,sqrt,5.455981150933099e-05,0.0002393000107750474,8,0.38931016753941083
9,bayesian_gp_ucb,11,0.49742678133600604,0.04461990841737473,0.332880077597382,0.9955982392957182,0.431892759255404,0.4990522524799393,0.682,110,0.12538354872131852,2,30,0.7185200607734037,sqrt,0.0009118335902573607,0.00047919957453413303,6,0.26217209251301743
10,bayesian_gp_ucb,4,0.49633048819560965,0.014275131986762083,0.37789563498898743,0.7326506360119805,0.43762262752302444,0.5609755115927837,0.826,84,0.06326655039184854,3,20,0.9498149994323315,sqrt,0.0004584287996559061,0.0007314524173798805,10,0.456015889909075
