month,n,pos,pos_rate,pred_rate,recall,precision,f1,tp,fp,fn,tn
1,991,313,0.3158425832492432,0.8900100908173562,1.0,0.35487528344671204,0.5238493723849372,313,569,0,109
2,876,286,0.3264840182648402,0.9098173515981736,1.0,0.3588456712672522,0.5281625115420129,286,511,0,79
3,1002,354,0.3532934131736527,0.8912175648702595,1.0,0.3964165733482643,0.5677626303127506,354,539,0,109
4,808,291,0.36014851485148514,0.7908415841584159,1.0,0.45539906103286387,0.6258064516129033,291,348,0,169
5,349,121,0.3467048710601719,0.5415472779369628,0.8347107438016529,0.5343915343915344,0.6516129032258065,101,88,20,140
6,349,175,0.501432664756447,0.335243553008596,0.4742857142857143,0.7094017094017094,0.5684931506849316,83,34,92,140
7,380,125,0.32894736842105265,0.32894736842105265,0.664,0.664,0.664,83,42,42,213
8,461,151,0.3275488069414317,0.35357917570498915,0.6622516556291391,0.6134969325153374,0.6369426751592356,100,63,51,247
9,464,102,0.21982758620689655,0.3017241379310345,0.6862745098039216,0.5,0.5785123966942148,70,70,32,292
10,695,186,0.26762589928057556,0.3640287769784173,0.7096774193548387,0.5217391304347826,0.6013667425968109,132,121,54,388
11,908,277,0.30506607929515417,0.5275330396475771,0.7942238267148014,0.4592901878914405,0.582010582010582,220,259,57,372
12,829,249,0.30036188178528345,0.5826296743063932,0.8273092369477911,0.42650103519668736,0.5628415300546448,206,277,43,303
